Callers 1 2 3 4 5
DeepVariant 0.955118874332848 0.248709122203098 0.0122549019607843 0 0
DELLY 0.000460941290635614 0.107573149741824 0.0808823529411765 0.0105263157894737 0.0116279069767442
FermiKit 0.958296943231441 0.835628227194492 0.480392156862745 0.0263157894736842 0
GATK_HC 0.98444929645803 0.863166953528399 0.526960784313726 0.068421052631579 0
Pindel 0.886584182435711 0.645438898450947 0.29656862745098 0 0
Platypus 0.983066472586123 0.783993115318417 0.0931372549019608 0 0
Strelka2 0.983988355167394 0.785714285714286 0 0 0
VarScan 0.71380397865114 0.0774526678141136 0 0 0
