Callers 1-20_TP 1-20_FP 1-20_FN 1-20_Precision 1-20_Recall 1-20_F1_score 20-50_TP 20-50_FP 20-50_FN 20-50_Precision 20-50_Recall 20-50_F1_score 50-200_TP 50-200_FP 50-200_FN 50-200_Precision 50-200_Recall 50-200_F1_score 200-500_TP 200-500_FP 200-500_FN 200-500_Precision 200-500_Recall 200-500_F1_score >500_TP >500_FP >500_FN >500_Precision >500_Recall >500_F1_score
DeepVariant 39370 3093 1850 0.927160115865577 0.955118874332848 0.940931849957578 289 539 873 0.349033816425121 0.248709122203098 0.290452261306533 5 38 403 0.116279069767442 0.0122549019607843 0.0221729490022173 0 0 190 NaN 0 NaN 0 0 86 NaN 0 NaN
DELLY 20 1 41201 0.952380952380952 0.000460941290635614 0.00092143661667873 124 2 1037 0.984126984126984 0.107573149741824 0.193946370700334 33 0 375 1 0.0808823529411765 0.149659863945578 3 12 188 0.2 0.0105263157894737 0.02 0 30 85 0 0.0116279069767442 0
FermiKit 39501 987 1719 0.975622406639004 0.958296943231441 0.966882067851373 971 114 191 0.894930875576037 0.835628227194492 0.864263462394304 196 82 212 0.705035971223022 0.480392156862745 0.571428571428571 5 52 185 0.087719298245614 0.0263157894736842 0.0404858299595142 0 19 86 0 0 NaN
GATK_HC 40579 549 641 0.986651429682941 0.98444929645803 0.985549132947977 1003 116 159 0.896336014298481 0.863166953528399 0.879438842612889 215 46 193 0.823754789272031 0.526960784313726 0.642750373692078 13 2 177 0.866666666666667 0.068421052631579 0.126829268292683 0 0 86 NaN 0 NaN
Pindel 36545 3010 4675 0.92390342560991 0.886584182435711 0.904859176725472 750 348 412 0.683060109289617 0.645438898450947 0.663716814159292 121 228 287 0.346704871060172 0.29656862745098 0.319682959048877 0 10 190 0 0 NaN 0 8 86 0 0 NaN
Platypus 40523 1930 698 0.954537959625939 0.983066472586123 0.968592194896803 910 84 251 0.915492957746479 0.783993115318417 0.844655554842345 38 6 370 0.863636363636364 0.0931372549019608 0.168141592920354 0 0 190 NaN 0 NaN 0 0 86 NaN 0 NaN
Strelka2 40561 1112 660 0.973316055959494 0.983988355167394 0.978623109943536 912 94 249 0.906560636182903 0.785714285714286 0.841822606360661 0 0 408 NaN 0 NaN 0 0 190 NaN 0 NaN 0 0 86 NaN 0 NaN
VarScan 29423 10817 11797 0.731187872763419 0.71380397865114 0.722391357721581 90 534 1072 0.144230769230769 0.0774526678141136 0.100783874580067 0 2 408 0 0 NaN 0 0 190 NaN 0 NaN 0 0 86 NaN 0 NaN
