Callers 1 2 3 4 5
DeepVariant 0.927160115865577 0.349033816425121 0.116279069767442 NaN NaN
DELLY 0.952380952380952 0.984126984126984 1 0.2 0
FermiKit 0.975622406639004 0.894930875576037 0.705035971223022 0.087719298245614 0
GATK_HC 0.986651429682941 0.896336014298481 0.823754789272031 0.866666666666667 NaN
Pindel 0.92390342560991 0.683060109289617 0.346704871060172 0 0
Platypus 0.954537959625939 0.915492957746479 0.863636363636364 NaN NaN
Strelka2 0.973316055959494 0.906560636182903 NaN NaN NaN
VarScan 0.731187872763419 0.144230769230769 0 NaN NaN
