Callers 1 2 3 4 5
DeepVariant 0.973935237702382 0.655016447368421 0.309459459459459 0.153846153846154 0.113821138211382
DELLY 0 0.0078125 0.0891891891891892 0.167224080267559 0.0731707317073171
FermiKit 0.960554810766216 0.922286184210526 0.868918918918919 0.782608695652174 0.764227642276423
GATK_HC 0.986825822419305 0.946546052631579 0.906756756756757 0.79933110367893 0.75609756097561
Pindel 0.892698772816335 0.7890625 0.713513513513514 0.545150501672241 0.479674796747967
Platypus 0.985510982778179 0.944078947368421 0.872972972972973 0.668896321070234 0.528455284552846
Strelka2 0.986516448386099 0.943667763157895 0.867567567567568 0.682274247491639 0.544715447154472
VarScan 0.742523460864185 0.255756578947368 0.108108108108108 0.0334448160535117 0
