Callers 1 2 3 4 5
DeepVariant 0.98847646773411 0.687607573149742 0.100490196078431 0 0
DELLY 0.000460941290635614 0.109294320137694 0.0808823529411765 0.0210526315789474 0.0232558139534884
FermiKit 0.971421639980592 0.882960413080895 0.563725490196078 0.263157894736842 0.197674418604651
GATK_HC 0.986317321688501 0.885542168674699 0.536764705882353 0.068421052631579 0
Pindel 0.949757399320718 0.835628227194492 0.514705882352941 0.0105263157894737 0
Platypus 0.990950994662785 0.809810671256454 0.102941176470588 0 0
Strelka2 0.988306647258612 0.814974182444062 0 0 0
VarScan 0.958030082484231 0.524956970740103 0.00490196078431373 0 0
