Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5463,5068,395,8500,627,2737,56,169,0.927695,0.891202,0.322,0.909083,,,1.4034687357371063,1.923050139275766
INDEL,PASS,5463,5011,452,8069,456,2534,36,130,0.9172620000000001,0.917615,0.31404099999999996,0.9174379999999999,,,1.4034687357371063,1.8848660391021
SNP,ALL,50947,50863,84,66311,2305,13121,41,115,0.998351,0.956665,0.197871,0.9770639999999999,2.489795918367347,2.2325422737683347,1.5875628715134888,1.725134657292052
SNP,PASS,50947,50693,254,62211,106,11390,15,14,0.995014,0.997914,0.183087,0.9964620000000001,2.489795918367347,2.423533942127847,1.5875628715134888,1.5909412892203842
