Callers 1 2 3 4 5
DeepVariant 0.931538088306647 0.0309810671256454 0 0 0
DELLY 0.00414847161572052 0.246987951807229 0.00735294117647059 0.00526315789473684 0
FermiKit 0.963197476952935 0.678141135972461 0.264705882352941 0 0
GATK_HC 0.971227559437166 0.648881239242685 0.191176470588235 0.00526315789473684 0
Pindel 0.66327025715672 0.222030981067126 0.0220588235294118 0 0
Platypus 0.980543425521591 0.204819277108434 0 0 0
Strelka2 0.982290150412421 0.666953528399312 0 0 0
VarScan 0.479936923823387 0 0 0 0
