Callers 1 2 3 4 5
DeepVariant 0.970040564977274 0.974921630094044 NaN NaN NaN
DELLY 0.971910112359551 0.983050847457627 0.75 0.111111111111111 0
FermiKit 0.989279830837698 0.954651162790698 0.851612903225806 0.904761904761905 1
GATK_HC 0.989437054221476 0.901408450704225 0.906976744186046 0.5 NaN
Pindel 0.987348040308005 0.818181818181818 0.25625 0.1 0
Platypus 0.951148616971402 0.979338842975207 NaN NaN NaN
Strelka2 0.982246805632714 0.946492271105826 NaN NaN NaN
VarScan 0.980325152738946 0.974358974358974 NaN NaN NaN
