Callers 1-20_TP 1-20_FP 1-20_FN 1-20_Precision 1-20_Recall 1-20_F1_score 20-50_TP 20-50_FP 20-50_FN 20-50_Precision 20-50_Recall 20-50_F1_score 50-200_TP 50-200_FP 50-200_FN 50-200_Precision 50-200_Recall 50-200_F1_score 200-500_TP 200-500_FP 200-500_FN 200-500_Precision 200-500_Recall 200-500_F1_score >500_TP >500_FP >500_FN >500_Precision >500_Recall >500_F1_score
DeepVariant 42361 2568 976 0.942843152529547 0.977478828714493 0.959848639340176 700 62 519 0.918635170603675 0.574241181296144 0.706713780918728 30 22 353 0.576923076923077 0.0783289817232376 0.137931034482759 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
DELLY 233 12 43104 0.951020408163265 0.00537646814500312 0.0106924877242898 619 66 600 0.903649635036496 0.507793273174733 0.650210084033613 86 131 297 0.3963133640553 0.224543080939948 0.286666666666667 125 122 66 0.506072874493927 0.654450261780105 0.570776255707763 43 80 50 0.349593495934959 0.462365591397849 0.398148148148148
FermiKit 41984 932 1353 0.978283157796626 0.968779564806055 0.973508167831844 968 73 251 0.929875120076849 0.794093519278097 0.856637168141593 123 36 260 0.773584905660377 0.321148825065274 0.453874538745387 1 122 190 0.00813008130081301 0.00523560209424084 0.00636942675159236 0 45 93 0 0 NaN
GATK_HC 42154 505 1183 0.988161935347758 0.972702309804555 0.980371180054886 824 55 395 0.937428896473265 0.675963904840033 0.785510009532888 71 8 312 0.89873417721519 0.185378590078329 0.307359307359307 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
Pindel 32733 10551 10604 0.756237870806765 0.75531301197591 0.755775158448875 540 1139 679 0.321620011911852 0.44298605414274 0.372670807453416 91 282 292 0.243967828418231 0.237597911227154 0.240740740740741 112 27 79 0.805755395683453 0.586387434554974 0.678787878787879 36 20 57 0.642857142857143 0.387096774193548 0.483221476510067
Platypus 42774 2008 563 0.955160555580367 0.987008791563791 0.970823545432881 722 72 497 0.909319899244333 0.592288761279738 0.717337307501242 13 29 370 0.30952380952381 0.0339425587467363 0.0611764705882353 43 20 148 0.682539682539683 0.225130890052356 0.338582677165354 10 19 83 0.344827586206897 0.10752688172043 0.163934426229508
Strelka2 42697 1110 641 0.974661583765152 0.985208943858597 0.979906882650115 946 90 272 0.913127413127413 0.776866283839213 0.8395036045179 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
VarScan 31724 12016 11613 0.725285779606767 0.732030366661283 0.728642465863546 46 394 1173 0.104545454545455 0.0377358490566038 0.055455093429777 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
