Callers 1 2 3 4 5
DeepVariant 0.979993812519336 0.692434210526316 0.345945945945946 0.167224080267559 0.040650406504065
DELLY 0 0.0703125 0.339189189189189 0.120401337792642 0.040650406504065
FermiKit 0.980200061874807 0.909950657894737 0.783783783783784 0.605351170568562 0.504065040650406
GATK_HC 0.977261008559348 0.8984375 0.759459459459459 0.528428093645485 0.390243902439024
Pindel 0.971950087655976 0.895559210526316 0.763513513513513 0.471571906354515 0.252032520325203
Platypus 0.990925028359286 0.878700657894737 0.322972972972973 0.00334448160535117 0
Strelka2 0.989171908837785 0.944078947368421 0.818918918918919 0.535117056856187 0.260162601626016
VarScan 0.94717438383005 0.464226973684211 0.0513513513513514 0 0
