Callers 1 2 3 4 5
DeepVariant 0.963027656477438 0.267641996557659 0 0 0
DELLY 0.00414847161572052 0.251290877796902 0.00735294117647059 0.0105263157894737 0
FermiKit 0.976055312954876 0.708261617900172 0.323529411764706 0.1 0.174418604651163
GATK_HC 0.972610383309073 0.660929432013769 0.191176470588235 0.00526315789473684 0
Pindel 0.967442988840369 0.634251290877797 0.102941176470588 0.00526315789473684 0
Platypus 0.984303736050461 0.206540447504303 0 0 0
Strelka2 0.986511402231926 0.686746987951807 0 0 0
VarScan 0.918680252304706 0.0327022375215146 0 0 0
