Callers 1 2 3 4 5
DeepVariant 0.953663325937827 0.586307782328847 0.135849056603774 0 0
DELLY NaN 0.966292134831461 0.968627450980392 0.972222222222222 1
FermiKit 0.978464663298787 0.937858087263111 0.917491749174917 0.91578947368421 0.90625
GATK_HC 0.989753241321623 0.958904109589041 0.920529801324503 0.813829787234043 0.75
Pindel 0.691234328279914 0.435704816615113 0.31619937694704 0.23 0.15
Platypus 0.947674418604651 0.944642857142857 0.970954356846473 1 NaN
Strelka2 0.978921756947112 0.963073005093379 0.930926216640502 0.904761904761905 0.805555555555556
VarScan 0.524033075486796 0.120386643233743 0 NaN NaN
