Callers 1 2 3 4 5
DeepVariant 0.940954132189192 0.08 NaN NaN NaN
DELLY 0.945652173913043 0.986394557823129 1 0.166666666666667 0
FermiKit 0.975143207855974 0.941176470588235 0.714285714285714 0 0
GATK_HC 0.987506426735218 0.894088669950739 0.895833333333333 NaN NaN
Pindel 0.673011626710567 0.299765807962529 0.0985915492957746 0 0
Platypus 0.949442051683633 0.981981981981982 NaN NaN NaN
Strelka2 0.977957827990539 0.953545232273839 NaN NaN NaN
VarScan 0.511883493043149 0.0555555555555556 NaN NaN NaN
