Callers 1 2 3 4 5
DeepVariant 0.964061049809219 0.412828947368421 0.0486486486486487 0 0
DELLY 0 0.0703125 0.333783783783784 0.120401337792642 0.032520325203252
FermiKit 0.968650097968444 0.876233552631579 0.751351351351351 0.581939799331104 0.471544715447154
GATK_HC 0.976126637104259 0.893092105263158 0.75 0.51505016722408 0.365853658536585
Pindel 0.679436939259565 0.405427631578947 0.274324324324324 0.153846153846154 0.0731707317073171
Platypus 0.987521913994019 0.869243421052632 0.32027027027027 0.00334448160535117 0
Strelka2 0.985356295761576 0.933388157894737 0.802702702702703 0.508361204013378 0.235772357723577
VarScan 0.506496854697329 0.0563322368421053 0 0 0
