Callers 1 2 3 4 5
DeepVariant 0.969423405503277 0.984201287302516 0.969811320754717 1 1
DELLY NaN 0.971910112359551 0.980392156862745 1 1
FermiKit 0.990156762668611 0.974438078448656 0.953795379537954 0.952631578947368 0.96875
GATK_HC 0.99090338770389 0.964648696420681 0.932119205298013 0.835106382978723 0.8
Pindel 0.98887898022347 0.96155545735749 0.88006230529595 0.705 0.533333333333333
Platypus 0.950989609104404 0.954017857142857 0.979253112033195 1 NaN
Strelka2 0.98271225509028 0.974533106960951 0.948194662480377 0.952380952380952 0.888888888888889
VarScan 0.979994665244065 0.991212653778559 0.974358974358974 NaN NaN
