Callers 1 2 3 4 5
DeepVariant 0.681370526967103 0.185444078947368 0.0256756756756757 0.00668896321070234 0
DELLY 0 0.00164473684210526 0.0256756756756757 0.0234113712374582 0.016260162601626
FermiKit 0.0100030937403321 0.00328947368421053 0 0 0
GATK_HC 0.463210271217902 0.289473684210526 0.174324324324324 0.100334448160535 0.040650406504065
Pindel 0.70488295349077 0.519325657894737 0.389189189189189 0.224080267558528 0.121951219512195
Platypus 0.706068887284727 0.267269736842105 0.0418918918918919 0 0
Strelka2 0.475043827988038 0.177220394736842 0.072972972972973 0.0367892976588629 0.00813008130081301
VarScan 0.14648860472311 0.0111019736842105 0 0 0
