Callers 1 2 3 4 5
DeepVariant 0.595416108074662 0.120065789473684 0.0189189189189189 0.00668896321070234 0
DELLY 0 0.00164473684210526 0.0256756756756757 0.0234113712374582 0.016260162601626
FermiKit 0.00971950087655976 0.00328947368421053 0 0 0
GATK_HC 0.454367330102093 0.281661184210526 0.167567567567568 0.096989966555184 0.040650406504065
Pindel 0.495075796638136 0.293174342105263 0.201351351351351 0.110367892976589 0.032520325203252
Platypus 0.686372073837269 0.261513157894737 0.0418918918918919 0 0
Strelka2 0.466896978446942 0.173930921052632 0.0702702702702703 0.0367892976588629 0.00813008130081301
VarScan 0.130452717335258 0.00740131578947368 0 0 0
