Callers 1 2 3 4 5
DeepVariant 0.853852410529429 0.636165577342048 0.736842105263158 1 NaN
DELLY NaN 1 1 1 1
FermiKit 0.959287531806616 1 NaN NaN NaN
GATK_HC 0.97418891283922 0.942068965517241 0.918518518518519 0.90625 1
Pindel 0.691438035572838 0.534883720930233 0.45679012345679 0.383720930232558 0.178571428571429
Platypus 0.956459261388131 0.966514459665145 0.939393939393939 NaN NaN
Strelka2 0.974336902135901 0.974654377880184 0.945454545454545 1 1
VarScan 0.885854341736695 0.666666666666667 NaN NaN NaN
