Callers 1-20_TP 1-20_FP 1-20_FN 1-20_Precision 1-20_Recall 1-20_F1_score 20-50_TP 20-50_FP 20-50_FN 20-50_Precision 20-50_Recall 20-50_F1_score 50-200_TP 50-200_FP 50-200_FN 50-200_Precision 50-200_Recall 50-200_F1_score 200-500_TP 200-500_FP 200-500_FN 200-500_Precision 200-500_Recall 200-500_F1_score >500_TP >500_FP >500_FN >500_Precision >500_Recall >500_F1_score
DeepVariant 29370 4843 13967 0.858445620085932 0.677711885917345 0.757446808510638 125 94 1094 0.570776255707763 0.102543068088597 0.173852573018081 1 1 382 0.5 0.00261096605744125 0.00519480519480519 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
DELLY 1 0 43336 1 0.0000230749705794125 0.0000461488762748627 38 4 1181 0.904761904761905 0.0311730926989336 0.0602696272799366 18 6 365 0.75 0.0469973890339426 0.0884520884520884 68 29 122 0.701030927835051 0.361256544502618 0.476805040394289 35 73 59 0.324074074074074 0.365591397849462 0.343583080698715
FermiKit 412 11 42925 0.973995271867612 0.00950688787871795 0.0188299817184644 1 1 1218 0.5 0.000820344544708778 0.00163800163800164 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
GATK_HC 19114 507 24223 0.974160338412925 0.441054987654891 0.607198449760158 158 7 1061 0.957575757575758 0.129614438063987 0.228323699421965 16 0 367 1 0.0417754569190601 0.0802005012531328 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
Pindel 24212 9757 19125 0.712767523330095 0.558691187668736 0.626393811605826 399 708 820 0.360433604336043 0.327317473338802 0.343078245915735 55 344 328 0.137844611528822 0.143603133159269 0.140664961636829 58 15 133 0.794520547945205 0.303664921465969 0.439393939393939 24 6 69 0.8 0.258064516129032 0.390243902439024
Platypus 32005 1672 11332 0.950351872197642 0.738514433394097 0.831147583556236 185 11 1034 0.943877551020408 0.151763740771124 0.261484098939929 0 9 383 0 0 NaN 5 8 186 0.384615384615385 0.0261780104712042 0.0490196078431372 0 3 93 0 0 NaN
Strelka2 22773 736 20564 0.968692841039602 0.525486305004961 0.681357149268468 227 73 992 0.756666666666667 0.186218211648893 0.298880842659645 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
VarScan 8070 479 35267 0.94397005497719 0.186215012575859 0.31106656901669 2 2 1217 0.5 0.00164068908941756 0.00327064595257563 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
