Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5463,4634,829,7514,938,1898,165,166,0.848252,0.8329770000000001,0.25259499999999996,0.8405450000000001,,,1.4034687357371063,1.8287775246772968
INDEL,PASS,5463,3239,2224,4877,329,1274,131,107,0.5928979999999999,0.9086870000000001,0.261226,0.717587,,,1.4034687357371063,1.241058987459359
SNP,ALL,50947,49948,999,60570,347,10256,228,14,0.980391,0.9931030000000001,0.169325,0.986706,2.489795918367347,2.449302590378594,1.5875628715134888,1.5358100184285475
SNP,PASS,50947,25329,25618,30620,253,5021,228,13,0.49716400000000005,0.990117,0.16397799999999998,0.6619470000000001,2.489795918367347,2.2540643927319093,1.5875628715134888,0.9742035341158262
