Callers 1-20_TP 1-20_FP 1-20_FN 1-20_Precision 1-20_Recall 1-20_F1_score 20-50_TP 20-50_FP 20-50_FN 20-50_Precision 20-50_Recall 20-50_F1_score 50-200_TP 50-200_FP 50-200_FN 50-200_Precision 50-200_Recall 50-200_F1_score 200-500_TP 200-500_FP 200-500_FN 200-500_Precision 200-500_Recall 200-500_F1_score >500_TP >500_FP >500_FN >500_Precision >500_Recall >500_F1_score
DeepVariant 41785 3176 1553 0.929361001757078 0.964164570690172 0.946442936196748 613 62 605 0.908148148148148 0.50369155045119 0.647986523163958 21 10 362 0.67741935483871 0.0548302872062663 0.101449275362319 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
DELLY 98 8 43239 0.924528301886792 0.00226134711678243 0.00451165895541284 441 41 778 0.9149377593361 0.361771944216571 0.518518518518518 63 84 320 0.428571428571429 0.164490861618799 0.237735849056604 122 77 69 0.613065326633166 0.638743455497382 0.625641025641026 44 73 49 0.376068376068376 0.473118279569892 0.419047619047619
FermiKit 39283 1673 4054 0.959151284305108 0.906454069271062 0.932058415289526 881 82 338 0.91484942886812 0.722723543888433 0.807516040329973 110 41 273 0.728476821192053 0.287206266318538 0.411985018726592 0 105 191 0 0 NaN 0 36 93 0 0 NaN
GATK_HC 40673 457 2664 0.988888888888889 0.938528278376445 0.963050658837179 650 34 569 0.950292397660819 0.533223954060706 0.68313189700473 59 8 324 0.880597014925373 0.154046997389034 0.262222222222222 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
Pindel 32045 11455 11292 0.736666666666667 0.739437432217274 0.738049448967606 512 1209 707 0.297501452643812 0.420016406890894 0.348299319727891 82 367 301 0.182628062360802 0.214099216710183 0.197115384615385 110 32 81 0.774647887323944 0.575916230366492 0.660660660660661 36 24 57 0.6 0.387096774193548 0.470588235294118
Platypus 42555 1789 782 0.959656323290637 0.981955373006899 0.970677797926575 635 60 584 0.913669064748201 0.520918785890074 0.663531870428422 11 26 372 0.297297297297297 0.0287206266318538 0.0523809523809524 29 15 162 0.659090909090909 0.151832460732984 0.246808510638298 3 14 90 0.176470588235294 0.032258064516129 0.0545454545454545
Strelka2 42602 1034 736 0.976303969199743 0.983016821653552 0.979648895934508 891 88 327 0.910112359550562 0.73174733388023 0.811241417640223 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
VarScan 30372 11698 12965 0.721939624435465 0.700833006437917 0.711229758684885 34 267 1185 0.112956810631229 0.0278917145200984 0.0447368421052632 0 0 383 NaN 0 NaN 0 0 191 NaN 0 NaN 0 0 93 NaN 0 NaN
