Callers 1 2 3 4 5
DeepVariant 0.899951479864144 0.0370051635111876 0 0 0
DELLY 0.00167394468704512 0.129948364888124 0.00245098039215686 0.00526315789473684 0
FermiKit 0.900291120815138 0.602409638554217 0.205882352941176 0 0
GATK_HC 0.940441533236293 0.506884681583477 0.142156862745098 0 0
Pindel 0.650145560407569 0.209122203098107 0.00980392156862745 0 0
Platypus 0.969990295972829 0.143717728055077 0 0 0
Strelka2 0.973847646773411 0.539586919104991 0 0 0
VarScan 0.461911693352741 0.000860585197934596 0 0 0
