Callers 1 2 3 4 5
DeepVariant 0.948131974769529 0.177280550774527 0 0 0
DELLY 0.00169820475497331 0.132530120481928 0.00245098039215686 0.0105263157894737 0.0116279069767442
FermiKit 0.928796700630762 0.635111876075731 0.237745098039216 0.068421052631579 0.0581395348837209
GATK_HC 0.941703056768559 0.513769363166954 0.144607843137255 0 0
Pindel 0.963221737020864 0.623924268502582 0.0637254901960784 0 0
Platypus 0.974429888403687 0.144578313253012 0 0 0
Strelka2 0.977389616690927 0.553356282271945 0 0 0
VarScan 0.871057738961669 0.0215146299483649 0 0 0
