Callers 1 2 3 4 5
DeepVariant 0.966948935078265 0.982456140350877 0.966480446927374 0.966666666666667 1
DELLY NaN 0.972602739726027 0.976190476190476 1 1
FermiKit 0.990953565279182 0.974531475252283 0.960893854748603 0.959770114942529 0.947368421052632
GATK_HC 0.991447014523938 0.963072378138848 0.895049504950495 0.846153846153846 0.829268292682927
Pindel 0.981773012552301 0.941355343179844 0.834834834834835 0.676767676767677 0.434782608695652
Platypus 0.965167348175072 0.973750630994447 0.982248520710059 1 NaN
Strelka2 0.984808556812897 0.973991031390135 0.96045197740113 0.957983193277311 0.894736842105263
VarScan 0.983758113918004 0.991150442477876 1 NaN NaN
