Callers 1 2 3 4 5
DeepVariant 0.93490254717954 0.342516447368421 0.0540540540540541 0.00668896321070234 0.00813008130081301
DELLY 0 0.0283717105263158 0.162162162162162 0.0936454849498328 0.024390243902439
FermiKit 0.907290914715892 0.788651315789474 0.671621621621622 0.51505016722408 0.398373983739837
GATK_HC 0.949262658554192 0.799753289473684 0.601351351351351 0.374581939799331 0.260162601626016
Pindel 0.666211199340002 0.393914473684211 0.260810810810811 0.1438127090301 0.0569105691056911
Platypus 0.981411776838197 0.787828947368421 0.224324324324324 0.00334448160535117 0
Strelka2 0.979426626791791 0.884868421052632 0.678378378378378 0.367892976588629 0.121951219512195
VarScan 0.488501598432505 0.0378289473684211 0.00135135135135135 0 0
