Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5463,4971,492,8269,583,2653,103,147,0.90994,0.8961889999999999,0.320837,0.903012,,,1.4034687357371063,1.7874149659863945
INDEL,PASS,5463,4971,492,8269,583,2653,103,147,0.90994,0.8961889999999999,0.320837,0.903012,,,1.4034687357371063,1.7874149659863945
SNP,ALL,50947,50812,135,63448,193,12439,41,21,0.99735,0.996216,0.19605,0.996783,2.489795918367347,2.4161463939720127,1.5875628715134888,1.63542662399734
SNP,PASS,50947,50812,135,63448,193,12439,41,21,0.99735,0.996216,0.19605,0.996783,2.489795918367347,2.4161463939720127,1.5875628715134888,1.63542662399734
