Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5463,3711,1752,5477,459,1307,288,97,0.679297,0.889928,0.238634,0.770476,,,1.4034687357371063,1.5690633869441817
INDEL,PASS,5463,3711,1752,5477,459,1307,288,97,0.679297,0.889928,0.238634,0.770476,,,1.4034687357371063,1.5690633869441817
SNP,ALL,50947,24,50923,147,1,117,1,0,0.000471,0.966667,0.795918,0.000942,2.489795918367347,0.5806451612903226,1.5875628715134888,1.161764705882353
SNP,PASS,50947,24,50923,147,1,117,1,0,0.000471,0.966667,0.795918,0.000942,2.489795918367347,0.5806451612903226,1.5875628715134888,1.161764705882353
