Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5463,5027,436,7596,198,2301,72,77,0.92019,0.962606,0.302923,0.9409209999999999,,,1.4034687357371063,1.4428200129954516
INDEL,PASS,5463,5027,436,7596,198,2301,72,77,0.92019,0.962606,0.302923,0.9409209999999999,,,1.4034687357371063,1.4428200129954516
SNP,ALL,50947,50823,124,62061,65,11159,34,10,0.997566,0.9987229999999999,0.179807,0.998144,2.489795918367347,2.4358293209364104,1.5875628715134888,1.5507216579629097
SNP,PASS,50947,50823,124,62061,65,11159,34,10,0.997566,0.9987229999999999,0.179807,0.998144,2.489795918367347,2.4358293209364104,1.5875628715134888,1.5507216579629097
